Shot,Threshold,Actual_Class,Pred_Class_0,Pred_Class_1,Pred_Class_2,Pred_Class_3
1,0.3,Class_0,242,0,0,31
1,0.3,Class_1,67,3094,0,18
1,0.3,Class_2,2,0,3355,107
1,0.3,Class_3,0,0,0,1247
1,0.35,Class_0,205,0,0,16
1,0.35,Class_1,47,2668,0,5
1,0.35,Class_2,0,0,3113,18
1,0.35,Class_3,0,0,0,1114
1,0.4,Class_0,174,0,0,2
1,0.4,Class_1,19,2353,0,1
1,0.4,Class_2,0,0,2795,0
1,0.4,Class_3,0,0,0,955
1,0.45,Class_0,138,0,0,0
1,0.45,Class_1,9,2104,0,0
1,0.45,Class_2,0,0,2458,0
1,0.45,Class_3,0,0,0,791
1,0.5,Class_0,108,0,0,0
1,0.5,Class_1,1,1814,0,0
1,0.5,Class_2,0,0,2098,0
1,0.5,Class_3,0,0,0,635
1,0.55,Class_0,81,0,0,0
1,0.55,Class_1,0,1533,0,0
1,0.55,Class_2,0,0,1732,0
1,0.55,Class_3,0,0,0,492
1,0.6,Class_0,55,0,0,0
1,0.6,Class_1,0,1248,0,0
1,0.6,Class_2,0,0,1324,0
1,0.6,Class_3,0,0,0,324
1,0.65,Class_0,40,0,0,0
1,0.65,Class_1,0,949,0,0
1,0.65,Class_2,0,0,911,0
1,0.65,Class_3,0,0,0,220
1,0.7,Class_0,27,0,0,0
1,0.7,Class_1,0,605,0,0
1,0.7,Class_2,0,0,519,0
1,0.7,Class_3,0,0,0,154
1,0.75,Class_0,17,0,0,0
1,0.75,Class_1,0,314,0,0
1,0.75,Class_2,0,0,168,0
1,0.75,Class_3,0,0,0,91
1,0.8,Class_0,12,0,0,0
1,0.8,Class_1,0,123,0,0
1,0.8,Class_2,0,0,40,0
1,0.8,Class_3,0,0,0,41
1,0.85,Class_0,9,0,0,0
1,0.85,Class_1,0,26,0,0
1,0.85,Class_2,0,0,4,0
1,0.85,Class_3,0,0,0,16
1,0.9,Class_0,2,0,0,0
1,0.9,Class_1,0,1,0,0
1,0.9,Class_2,0,0,1,0
1,0.9,Class_3,0,0,0,4
10,0.3,Class_0,349,3,3,2
10,0.3,Class_1,16,3652,0,3
10,0.3,Class_2,23,1,3634,53
10,0.3,Class_3,2,0,0,1294
10,0.35,Class_0,323,2,0,1
10,0.35,Class_1,2,3535,0,1
10,0.35,Class_2,4,0,3443,11
10,0.35,Class_3,1,0,0,1261
10,0.4,Class_0,285,1,0,0
10,0.4,Class_1,1,3350,0,0
10,0.4,Class_2,0,0,3138,1
10,0.4,Class_3,0,0,0,1143
10,0.45,Class_0,217,0,0,0
10,0.45,Class_1,1,3087,0,0
10,0.45,Class_2,0,0,2671,0
10,0.45,Class_3,0,0,0,1049
10,0.5,Class_0,154,0,0,0
10,0.5,Class_1,0,2593,0,0
10,0.5,Class_2,0,0,2014,0
10,0.5,Class_3,0,0,0,926
10,0.55,Class_0,89,0,0,0
10,0.55,Class_1,0,2008,0,0
10,0.55,Class_2,0,0,1219,0
10,0.55,Class_3,0,0,0,695
10,0.6,Class_0,27,0,0,0
10,0.6,Class_1,0,1372,0,0
10,0.6,Class_2,0,0,401,0
10,0.6,Class_3,0,0,0,398
10,0.65,Class_0,0,0,0,0
10,0.65,Class_1,0,707,0,0
10,0.65,Class_2,0,0,20,0
10,0.65,Class_3,0,0,0,128
10,0.7,Class_0,0,0,0,0
10,0.7,Class_1,0,118,0,0
10,0.7,Class_2,0,0,0,0
10,0.7,Class_3,0,0,0,17
10,0.75,Class_0,0,0,0,0
10,0.75,Class_1,0,0,0,0
10,0.75,Class_2,0,0,0,0
10,0.75,Class_3,0,0,0,0
10,0.8,Class_0,0,0,0,0
10,0.8,Class_1,0,0,0,0
10,0.8,Class_2,0,0,0,0
10,0.8,Class_3,0,0,0,0
10,0.85,Class_0,0,0,0,0
10,0.85,Class_1,0,0,0,0
10,0.85,Class_2,0,0,0,0
10,0.85,Class_3,0,0,0,0
10,0.9,Class_0,0,0,0,0
10,0.9,Class_1,0,0,0,0
10,0.9,Class_2,0,0,0,0
10,0.9,Class_3,0,0,0,0
30,0.3,Class_0,355,4,2,2
30,0.3,Class_1,5,3672,0,1
30,0.3,Class_2,31,1,3656,44
30,0.3,Class_3,2,0,0,1292
30,0.35,Class_0,337,3,1,1
30,0.35,Class_1,2,3561,0,0
30,0.35,Class_2,10,0,3500,10
30,0.35,Class_3,1,0,0,1256
30,0.4,Class_0,303,3,0,0
