Shot,Threshold,Total_Files,Overall_Accuracy,FSL_Class_0,FSL_Class_1,FSL_Class_2,FSL_Class_3,FSL_Unknown,FSL_Target_Total,Accuracy_Class_0,Accuracy_Class_1,Accuracy_Class_2,Accuracy_Class_3
1,0.3,16061,0.7012639312620634,431,3732,3597,3727,4574,11487,0.6612021857923497,0.822434875066454,0.8448753462603878,0.9497334348819497
1,0.35,16061,0.7516966564971048,312,2861,3247,2442,7199,8862,0.5601092896174863,0.7091972355130249,0.7839335180055401,0.8484386900228484
1,0.4,16061,0.7548097876844531,222,2432,2871,1577,8959,7102,0.47540983606557374,0.6254651780967571,0.7038529337698313,0.7273419649657273
1,0.45,16061,0.7327688188780275,156,2130,2498,1087,10190,5871,0.3770491803278688,0.5592769803296119,0.6189876605389071,0.6024371667936025
1,0.5,16061,0.6928584770562232,113,1823,2112,784,11229,4832,0.29508196721311475,0.48219032429558745,0.5283303953664065,0.4836252856054836
1,0.55,16061,0.647219973849698,83,1538,1739,570,12131,3930,0.22131147540983606,0.40749601275917063,0.4361621757743641,0.3747143945163747
1,0.6,16061,0.5959778345059461,55,1250,1328,346,13082,2979,0.15027322404371585,0.3317384370015949,0.3334172752455301,0.24676313785224677
1,0.65,16061,0.5457318971421455,40,949,913,222,13937,2124,0.1092896174863388,0.2522594364699628,0.22941324603374466,0.16755521706016754
1,0.7,16061,0.4952369092833572,27,605,519,154,14756,1305,0.07377049180327869,0.1608187134502924,0.13069755729035507,0.1172886519421173
1,0.75,16061,0.45071913330427743,17,314,168,91,15471,590,0.04644808743169399,0.0834662413609782,0.04230672374716696,0.06930693069306931
1,0.8,16061,0.42743291202291267,12,123,40,41,15845,216,0.03278688524590164,0.03269537480063796,0.010073029463611181,0.031226199543031227
1,0.85,16061,0.4174086295996513,9,26,4,16,16006,55,0.02459016393442623,0.006911217437533227,0.001007302946361118,0.012185833968012186
1,0.9,16061,0.414482286283544,2,1,1,4,16053,8,0.00546448087431694,0.0002658160552897395,0.0002518257365902795,0.0030464584920030465
10,0.3,16061,0.664778033746342,712,5778,4028,3418,2125,13936,0.953551912568306,0.9707602339181286,0.9151347267690758,0.9855293221629855
10,0.35,16061,0.7307764149181246,462,5307,3694,2595,4003,12058,0.8825136612021858,0.9396597554492291,0.8670360110803325,0.9603960396039604
