Shot,Threshold,Class,True_Class,Within_Target_Classes,Manually_Marked_As_Others,Total
1,0.3,Class_0,Fence (C1),242,120,362
1,0.3,Class_1,Sidewalk (C2),3094,638,3732
1,0.3,Class_2,Parked car (C3),3355,242,3597
1,0.3,Class_3,Traffic cone (C4),1247,2324,3571
1,0.35,Class_0,Fence (C1),205,60,265
1,0.35,Class_1,Sidewalk (C2),2668,193,2861
1,0.35,Class_2,Parked car (C3),3113,134,3247
1,0.35,Class_3,Traffic cone (C4),1114,1289,2403
1,0.4,Class_0,Fence (C1),174,29,203
1,0.4,Class_1,Sidewalk (C2),2353,79,2432
1,0.4,Class_2,Parked car (C3),2795,76,2871
1,0.4,Class_3,Traffic cone (C4),955,619,1574
1,0.45,Class_0,Fence (C1),138,9,147
1,0.45,Class_1,Sidewalk (C2),2104,26,2130
1,0.45,Class_2,Parked car (C3),2458,40,2498
1,0.45,Class_3,Traffic cone (C4),791,296,1087
1,0.5,Class_0,Fence (C1),108,4,112
1,0.5,Class_1,Sidewalk (C2),1814,9,1823
1,0.5,Class_2,Parked car (C3),2098,14,2112
1,0.5,Class_3,Traffic cone (C4),635,149,784
1,0.55,Class_0,Fence (C1),81,2,83
1,0.55,Class_1,Sidewalk (C2),1533,5,1538
1,0.55,Class_2,Parked car (C3),1732,7,1739
1,0.55,Class_3,Traffic cone (C4),492,78,570
1,0.6,Class_0,Fence (C1),55,0,55
1,0.6,Class_1,Sidewalk (C2),1248,2,1250
1,0.6,Class_2,Parked car (C3),1324,4,1328
1,0.6,Class_3,Traffic cone (C4),324,22,346
1,0.65,Class_0,Fence (C1),40,0,40
1,0.65,Class_1,Sidewalk (C2),949,0,949
1,0.65,Class_2,Parked car (C3),911,2,913
1,0.65,Class_3,Traffic cone (C4),220,2,222
1,0.7,Class_0,Fence (C1),27,0,27
1,0.7,Class_1,Sidewalk (C2),605,0,605
1,0.7,Class_2,Parked car (C3),519,0,519
1,0.7,Class_3,Traffic cone (C4),154,0,154
1,0.75,Class_0,Fence (C1),17,0,17
1,0.75,Class_1,Sidewalk (C2),314,0,314
1,0.75,Class_2,Parked car (C3),168,0,168
1,0.75,Class_3,Traffic cone (C4),91,0,91
1,0.8,Class_0,Fence (C1),12,0,12
1,0.8,Class_1,Sidewalk (C2),123,0,123
1,0.8,Class_2,Parked car (C3),40,0,40
1,0.8,Class_3,Traffic cone (C4),41,0,41
1,0.85,Class_0,Fence (C1),9,0,9
1,0.85,Class_1,Sidewalk (C2),26,0,26
1,0.85,Class_2,Parked car (C3),4,0,4
1,0.85,Class_3,Traffic cone (C4),16,0,16
1,0.9,Class_0,Fence (C1),2,0,2
1,0.9,Class_1,Sidewalk (C2),1,0,1
1,0.9,Class_2,Parked car (C3),1,0,1
1,0.9,Class_3,Traffic cone (C4),4,0,4
